id,stateid,parid,negeri,parlimen,nama_calon,jenis_pekerjaan,parti,jantina,status,no_calon,jumlah_undian,majoriti,ut,total
1069,9,1,PERLIS,PADANG BESAR,RUSHDAN BIN RUSMI,AHLI PERNIAGAAN,PN,L,MENANG,1,24267,12514,694,60099
969,9,1,PERLIS,PADANG BESAR,KO CHU LIANG,,WARISAN,L,HILANG DEPOSIT,2,244,12514,694,60099
1113,9,1,PERLIS,PADANG BESAR,ZAHIDI BIN ZAINUL ABIDIN,,BEBAS,L,HILANG DEPOSIT,3,1939,12514,694,60099
259,9,1,PERLIS,PADANG BESAR,ZAHIDA BINTI ZARIK KHAN,,BN,P,KALAH,4,11753,12514,694,60099
118,9,1,PERLIS,PADANG BESAR,KAPT (B) HJ MOHAMAD YAHAYA,SENDIRI,PH,L,KALAH,5,7085,12514,694,60099
449,9,2,PERLIS,KANGAR,CIKGU ZAKRI,,PN,L,MENANG,1,24562,9192,660,74872
847,9,2,PERLIS,KANGAR,DR FATHUL BARI,,BN,L,KALAH,2,15370,9192,660,74872
1309,9,2,PERLIS,KANGAR,PROF. DR. ROHIMI SHAPIEE,PESARA,WARISAN,L,HILANG DEPOSIT,3,417,9192,660,74872
1332,9,2,PERLIS,KANGAR,AMIN AHMAD,,PH,L,KALAH,4,15143,9192,660,74872
1312,9,2,PERLIS,KANGAR,USTAZ NUR SULAIMAN,EKSEKUTIF KANAN YAYASAN PERDANA DIALOG,PEJUANG,L,HILANG DEPOSIT,5,708,9192,660,74872
447,9,3,PERLIS,ARAU,FATHIN AMELINA,,PH,P,KALAH,1,7089,23216,727,60908
1091,9,3,PERLIS,ARAU,SHAHIDAN BIN KASSIM,,PN,L,MENANG,2,31458,23216,727,60908
741,9,3,PERLIS,ARAU,ROZABIL @ TOK BEN,AHLI PERNIAGAAN,BN,L,KALAH,3,8242,23216,727,60908
213,2,4,KEDAH,LANGKAWI,DATO PADUKA ABD KADIR,,BEBAS,L,HILANG DEPOSIT,1,89,13518,508,66636
294,2,4,KEDAH,LANGKAWI,MOHD SUHAIMI BIN ABDULLAH,,PN,L,MENANG,2,25463,13518,508,66636
15,2,4,KEDAH,LANGKAWI,MAHATHIR BIN MOHAMAD,PESARA ,PEJUANG,L,HILANG DEPOSIT,3,4566,13518,508,66636
