stateid,parid,dunid,dmid,negeri,parlimen,dun,dm,PRU13,PRU14,Perubahan_Peratus_Sokongan,Sokongan_Melayu_Terhadap_BN_pada_PRU14_(%Melayu),Sokongan_Melayu_Terhadap_BN_pada_PRU14_(%Total),Jangkaan_Sokongan_Boleh_kembali_ke_BN_(Turnout_100%),Jangkaan_Sokongan_Boleh_kembali_ke_BN_(Turnout_80%),Jangkaan_Sokongan_Boleh_kembali_ke_BN_(Turnout_75%),Jangkaan_Sokongan_Boleh_kembali_ke_BN_(Turnout_60%),Total_Pengundi _PRU15,Melayu,Cina,India,%Melayu,K
9,1,1,1,PERLIS,PADANG BESAR,TITI TINGGI,JALAN PADANG BESAR,42,33.8,-8.2,33,17.1,130,104,98,78,1589,824,678,70,0.519,K2
9,1,1,2,PERLIS,PADANG BESAR,TITI TINGGI,TITI TINGGI,68.2,38.9,-29.3,38,35.6,975,780,731,585,3327,3119,138,13,0.937,K2
9,1,1,3,PERLIS,PADANG BESAR,TITI TINGGI,FELDA MATA AYER,76.5,54.8,-21.7,53,52.5,297,238,223,178,1369,1356,2,0,0.991,K2
9,1,1,4,PERLIS,PADANG BESAR,TITI TINGGI,KAMPONG KASTAM,49.4,24.7,-24.7,26,15.6,246,197,185,148,997,599,294,81,0.601,K2
9,1,1,5,PERLIS,PADANG BESAR,TITI TINGGI,PADANG BESAR,44,19.5,-24.5,29,17.4,682,546,512,409,2785,1669,968,70,0.599,K2
9,1,1,6,PERLIS,PADANG BESAR,TITI TINGGI,FELDA RIMBA MAS,71.1,50.2,-20.9,49,41.4,377,302,283,226,1805,1524,232,26,0.844,K2
9,1,1,7,PERLIS,PADANG BESAR,TITI TINGGI,LUBOK SIREH,64.7,37.1,-27.6,36,32.3,423,338,317,254,1531,1373,138,1,0.897,K2
9,1,2,1,PERLIS,PADANG BESAR,BESERI,PEKAN KAKI BUKIT,34.6,29.8,-4.8,30,7.1,82,65,61,49,1699,403,1265,14,0.237,K2
9,1,2,2,PERLIS,PADANG BESAR,BESERI,TASOH,50,35.3,-14.7,35,24.3,96,76,72,57,650,451,191,1,0.694,K2
9,1,2,3,PERLIS,PADANG BESAR,BESERI,GUAR JENTIK,55.3,37.1,-18.2,36,30,359,288,270,216,1975,1646,194,15,0.833,K2
9,1,2,4,PERLIS,PADANG BESAR,BESERI,BESERI,62.3,40.9,-21.4,40,38.7,748,599,561,449,3497,3380,67,12,0.967,K2
9,1,2,5,PERLIS,PADANG BESAR,BESERI,TUNJONG,57.6,34.9,-22.7,37,34.9,978,782,733,587,4307,4064,109,47,0.944,K2
9,1,3,1,PERLIS,PADANG BESAR,CHUPING,PANGGAS,62.6,38.5,-24.1,38,27.7,1001,801,751,601,4155,3027,110,31,0.729,K2
9,1,3,2,PERLIS,PADANG BESAR,CHUPING,SUNGAI BULOH,65.6,49.3,-16.3,49,46.7,427,342,320,256,2621,2499,14,3,0.953,K2
9,1,3,3,PERLIS,PADANG BESAR,CHUPING,KILANG GULA CHUPING,63.6,39.1,-24.5,39,30.1,114,92,86,69,467,361,79,12,0.773,K2
9,1,3,4,PERLIS,PADANG BESAR,CHUPING,KUBANG PERUN,69.1,40,-29.1,39,27.1,698,558,524,419,2399,1665,54,18,0.694,K2
9,1,3,5,PERLIS,PADANG BESAR,CHUPING,GUAR NANGKA,71.4,51.1,-20.3,50,42.8,415,332,311,249,2042,1749,32,13,0.857,K2
9,1,3,6,PERLIS,PADANG BESAR,CHUPING,FELDA CHUPING,64.3,46.5,-17.8,45,44.7,456,365,342,274,2564,2546,3,1,0.993,K2
9,1,4,1,PERLIS,PADANG BESAR,MATA AYER,TOK KAYA MAN,62.1,45.4,-16.7,45,41.2,662,529,496,397,3962,3624,23,4,0.915,K2
9,1,4,2,PERLIS,PADANG BESAR,MATA AYER,HUTAN TEMIN,53.5,38.2,-15.3,37,34.7,353,282,265,212,2308,2166,98,13,0.938,K2
9,1,4,3,PERLIS,PADANG BESAR,MATA AYER,KAMPUNG GIAL,62.5,44.5,-18,46,40.1,611,488,458,366,3392,2957,112,64,0.872,K2
9,1,5,1,PERLIS,PADANG BESAR,SANTAN,KAMPONG DARAT,57.2,45.1,-12.1,44,43.6,155,124,117,93,1284,1273,4,0,0.991,K2
9,1,5,2,PERLIS,PADANG BESAR,SANTAN,PAYA,60.8,43.1,-17.7,42,41.6,439,352,330,264,2483,2459,7,1,0.99,K2
9,1,5,3,PERLIS,PADANG BESAR,SANTAN,ALOR TAMPANG,58.4,41,-17.4,40,39.5,231,184,173,138,1325,1307,13,1,0.986,K2
9,1,5,4,PERLIS,PADANG BESAR,SANTAN,PADANG LATI,64.2,50.5,-13.7,49,48.6,199,159,149,119,1452,1441,3,1,0.992,K2
9,1,5,5,PERLIS,PADANG BESAR,SANTAN,PADANG PAUH,52.6,32.5,-20.1,32,31.3,364,291,273,218,1810,1773,12,3,0.98,K2
9,1,5,6,PERLIS,PADANG BESAR,SANTAN,SANTAN,50.2,33.9,-16.3,33,32.6,391,313,293,234,2397,2365,11,3,0.987,K2
9,2,6,1,PERLIS,KANGAR,BINTONG,NESAM,62.7,43,-19.7,42,41.6,533,427,400,320,2707,2684,3,1,0.992,K3
9,2,6,2,PERLIS,KANGAR,BINTONG,ABI,59.2,42,-17.2,41,40.5,496,397,372,298,2886,2849,21,1,0.987,K3
9,2,6,3,PERLIS,KANGAR,BINTONG,KECHOR,54.5,35.1,-19.4,34,33.4,178,142,133,107,917,902,3,0,0.984,K3
9,2,6,4,PERLIS,KANGAR,BINTONG,HUTAN MELINTANG,62.1,34.7,-27.4,34,33,804,643,603,482,2934,2844,37,28,0.969,K3
9,2,6,5,PERLIS,KANGAR,BINTONG,TELOK KACHANG,57.5,33.7,-23.8,33,29.4,912,730,684,547,3832,3415,248,129,0.891,K3
9,2,6,6,PERLIS,KANGAR,BINTONG,WANG BINTONG,63.1,37.7,-25.4,37,34.4,785,628,589,471,3090,2876,177,6,0.931,K3
9,2,7,1,PERLIS,KANGAR,SENA,KAMPONG SALANG,56.1,34.7,-21.4,34,33.1,595,476,446,357,2780,2705,51,4,0.973,K3
9,2,7,2,PERLIS,KANGAR,SENA,REPOH,50.8,29.2,-21.6,29,27.5,671,537,503,402,3105,2948,101,14,0.949,K3
9,2,7,3,PERLIS,KANGAR,SENA,ALOR LANCHANG,53.9,37.3,-16.6,36,30.3,329,263,247,197,1980,1665,227,49,0.841,K3
9,2,7,4,PERLIS,KANGAR,SENA,TAMAN INDERA,46.4,25.1,-21.3,25,15.7,163,130,122,98,764,479,207,74,0.627,K3
9,2,7,5,PERLIS,KANGAR,SENA,TOK PEDUKA,53.5,28.5,-25,32,28.2,997,797,748,598,3987,3516,212,198,0.882,K3
9,2,7,6,PERLIS,KANGAR,SENA,PADANG BOHOR,56.9,32.7,-24.2,31,28.6,403,323,303,242,1667,1536,75,29,0.921,K3
9,2,7,7,PERLIS,KANGAR,SENA,PADANG PETANI,48.4,20.3,-28.1,20,6.1,446,357,334,268,1587,481,534,62,0.303,K3
9,2,8,1,PERLIS,KANGAR,INDERA KAYANGAN,PADANG KATONG,52.9,26.8,-26.1,25,19.4,411,329,309,247,1576,1221,233,106,0.775,K3
9,2,8,2,PERLIS,KANGAR,INDERA KAYANGAN,DERMA,42.7,23.8,-18.9,22,12.7,215,172,161,129,1136,655,377,92,0.577,K3
9,2,8,3,PERLIS,KANGAR,INDERA KAYANGAN,PEKAN LAMA KANGAR,23.4,10.1,-13.3,10,0.6,145,116,109,87,1093,67,981,39,0.061,K3
9,2,8,4,PERLIS,KANGAR,INDERA KAYANGAN,PENGKALAN ASSAM,29,13.7,-15.3,14,3.9,205,164,154,123,1341,369,917,41,0.275,K3
9,2,8,5,PERLIS,KANGAR,INDERA KAYANGAN,PEKAN BARU KANGAR,30,16.7,-13.3,16,3.5,254,203,191,152,1911,415,1378,85,0.217,K3
9,2,8,6,PERLIS,KANGAR,INDERA KAYANGAN,SEBERANG BAKAU,42.8,23.8,-19,23,14.4,859,687,644,515,4521,2840,1462,108,0.628,K3
9,2,8,7,PERLIS,KANGAR,INDERA KAYANGAN,BEHOR GANDIN,49.9,31.3,-18.6,31,23.4,537,430,403,322,2887,2183,407,23,0.756,K3
9,2,9,1,PERLIS,KANGAR,KUALA PERLIS,SEBERANG ALOR,60.6,42,-18.6,41,34.7,298,238,223,179,1601,1356,203,0,0.847,K3
9,2,9,2,PERLIS,KANGAR,KUALA PERLIS,HUJONG TANJONG,60.5,47.7,-12.8,47,44.9,272,217,204,163,2124,2029,75,1,0.955,K3
9,2,9,3,PERLIS,KANGAR,KUALA PERLIS,KEPALA BATAS,40.5,24.6,-15.9,25,12.8,729,584,547,438,4588,2356,2129,14,0.514,K3
9,2,9,4,PERLIS,KANGAR,KUALA PERLIS,SEBERANG TOK PI,60.2,34.6,-25.6,34,28.9,1134,907,850,680,4428,3763,585,5,0.85,K3
9,2,9,5,PERLIS,KANGAR,KUALA PERLIS,PADANG BESAR SELATAN,70.2,41.4,-28.8,41,39.2,569,455,427,341,1976,1888,57,1,0.955,K3
9,2,10,1,PERLIS,KANGAR,KAYANG,TITI TOK BANDAR,52.2,39.7,-12.5,39,38.3,191,153,143,115,1529,1502,0,7,0.982,K3
9,2,10,2,PERLIS,KANGAR,KAYANG,BANGSAL LEBAH,61.1,45.3,-15.8,44,43,420,336,315,252,2660,2602,32,0,0.978,K3
9,2,10,3,PERLIS,KANGAR,KAYANG,TEMAK,55.4,36.2,-19.2,35,34.2,442,353,331,265,2300,2246,26,1,0.977,K3
9,2,10,4,PERLIS,KANGAR,KAYANG,SERIAB,64,38.7,-25.3,46,43.1,690,552,518,414,2728,2558,83,19,0.938,K3
9,2,10,5,PERLIS,KANGAR,KAYANG,GUNONG UTAN AJI,53.5,33.7,-19.8,33,31,580,464,435,348,2928,2752,123,20,0.94,K3
9,2,10,6,PERLIS,KANGAR,KAYANG,HUJUNG BATU,63.2,42.7,-20.5,41,37.1,266,213,199,159,1296,1172,10,0,0.904,K3
9,3,11,1,PERLIS,ARAU,PAUH,GUAR GAJAH,57.2,41.3,-15.9,41,35.4,775,620,581,465,4872,4211,258,264,0.864,K3
9,3,11,2,PERLIS,ARAU,PAUH,PADANG SIDING,61.4,46.6,-14.8,46,41.6,245,196,184,147,1654,1494,37,20,0.903,K3
9,3,11,3,PERLIS,ARAU,PAUH,PAUH,48.5,35.9,-12.6,35,20.6,494,395,370,296,3920,2310,1355,194,0.589,K3
9,3,11,4,PERLIS,ARAU,PAUH,ISTANA,41.1,28.3,-12.8,40,32.6,166,133,125,100,1297,1058,104,87,0.816,K3
9,3,11,5,PERLIS,ARAU,PAUH,PEKAN ARAU,42.3,37.9,-4.4,37,19.9,50,40,38,30,1140,613,307,181,0.538,K3
9,3,11,6,PERLIS,ARAU,PAUH,KUBANG PAYA,57.2,43.7,-13.5,43,40,258,207,194,155,1914,1781,71,41,0.931,K3
9,3,12,1,PERLIS,ARAU,TAMBUN TULANG,KUBANG GAJAH,59.7,47.9,-11.8,48,38.1,278,223,209,167,2359,1874,317,33,0.794,K3
9,3,12,2,PERLIS,ARAU,TAMBUN TULANG,JEJAWI,55.2,42,-13.2,40,30,289,231,217,173,2188,1640,173,34,0.75,K3
9,3,12,3,PERLIS,ARAU,TAMBUN TULANG,KAMPONG BANAT,66.2,50.9,-15.3,50,33.7,211,169,158,127,1379,930,38,16,0.674,K3
